Type	Name	RefSeq	INSDC	Size (Mb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Chr	1	NC_044602.1	CM017847.1	219.76	41.6	5,001	-	41	933	3,261	621
Chr	2A	NC_044603.1	CM017848.1	107.98	41.1	1,743	1	5	428	1,163	215
Chr	2B	NC_044604.1	CM017849.1	127.99	39.5	1,752	-	4	423	1,197	280
Chr	3	NC_044605.1	CM017850.1	193.16	39.7	3,073	1	4	649	1,963	443
Chr	4	NC_044606.1	CM017851.1	187.8	38.3	1,988	-	1	497	1,482	345
Chr	5	NC_044607.1	CM017852.1	160.66	41.8	3,643	-	26	691	2,354	426
Chr	6	NC_044608.1	CM017853.1	168.48	39.7	2,600	1	137	589	2,042	419
Chr	7	NC_044609.1	CM017854.1	148.26	40.5	2,337	-	16	482	1,665	337
Chr	8	NC_044610.1	CM017855.1	140.82	40.1	1,759	-	6	384	1,235	269
Chr	9	NC_044611.1	CM017856.1	107.76	41.3	2,010	-	3	389	1,264	257
Chr	10	NC_044612.1	CM017857.1	127.48	41.5	2,165	-	3	414	1,304	255
Chr	11	NC_044613.1	CM017858.1	118.29	41.4	2,977	-	13	398	1,795	334
Chr	12	NC_044614.1	CM017859.1	128.8	40.7	2,632	-	9	471	1,674	336
Chr	13	NC_044615.1	CM017860.1	92.57	38.4	816	-	4	329	722	164
Chr	14	NC_044616.1	CM017861.1	87.62	40.9	1,725	-	17	427	1,206	217
Chr	15	NC_044617.1	CM017862.1	76.91	42.2	1,442	-	8	372	1,068	216
Chr	16	NC_044618.1	CM017863.1	74.39	44.5	1,738	-	25	305	1,081	161
Chr	17	NC_044619.1	CM017864.1	90.91	40.4	1,267	-	18	302	992	198
Chr	18	NC_044620.1	CM017865.1	73.86	39.8	828	-	1	210	583	139
Chr	19	NC_044621.1	CM017866.1	48.39	47.4	2,422	-	3	325	1,386	175
Chr	20	NC_044622.1	CM017867.1	60.38	43.8	1,232	1	-	264	833	133
Chr	21	NC_044623.1	CM017868.1	32.69	40.9	516	-	1	125	375	59
Chr	22	NC_044624.1	CM017869.1	32.72	48.0	1,073	-	-	177	655	101
Chr	X	NC_044625.1	CM017870.1	149.49	39.5	1,805	-	1	396	1,515	453
Chr	MT	NC_011120.1	-	0.02	43.8	13	2	22	-	37	-
