Type	Name	RefSeq	INSDC	Size (Mb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Chr	1	NC_036903.1	CM009262.2	227.91	41.6	5,054	1	69	823	3,426	685
Chr	2A	NC_036904.1	CM009263.2	109.51	41.0	1,628	1	5	354	1,162	227
Chr	2B	NC_036905.1	CM009264.2	129.94	39.5	1,800	-	4	320	1,128	261
Chr	3	NC_036906.1	CM009265.2	193.66	39.5	2,792	1	4	476	1,823	407
Chr	4	NC_036907.1	CM009266.2	189.39	38.2	1,921	-	1	426	1,431	343
Chr	5	NC_036908.1	CM009267.2	179.19	39.4	2,048	-	21	412	1,565	365
Chr	6	NC_036909.1	CM009268.2	169.5	39.6	2,567	1	133	490	1,995	445
Chr	7	NC_036910.1	CM009269.2	145.41	40.2	2,054	-	19	367	1,524	337
Chr	8	NC_036911.1	CM009270.2	144.04	40.0	1,821	-	6	302	1,198	291
Chr	9	NC_036912.1	CM009271.2	112.21	41.4	1,965	-	3	280	1,280	273
Chr	10	NC_036913.1	CM009272.2	132.18	41.5	2,204	-	3	364	1,306	285
Chr	11	NC_036914.1	CM009273.2	128.12	41.6	2,987	-	14	364	1,876	327
Chr	12	NC_036915.1	CM009274.2	132.18	40.8	2,690	-	9	418	1,710	352
Chr	13	NC_036916.1	CM009275.2	98.48	38.6	885	-	4	243	678	154
Chr	14	NC_036917.1	CM009276.2	88.96	40.8	1,623	-	22	307	1,177	244
Chr	15	NC_036918.1	CM009277.2	82.55	42.3	1,455	-	8	385	1,166	258
Chr	16	NC_036919.1	CM009278.2	68.24	44.7	1,831	-	29	241	1,127	165
Chr	17	NC_036920.1	CM009279.2	75.91	45.6	2,596	-	33	338	1,642	224
Chr	18	NC_036921.1	CM009280.2	75.92	39.8	724	-	1	189	562	140
Chr	19	NC_036922.1	CM009281.2	57.58	48.1	3,275	-	9	225	1,844	253
Chr	20	NC_036923.1	CM009282.2	60.84	44.0	1,302	-	-	212	824	126
Chr	21	NC_036924.1	CM009283.2	34.68	40.9	536	-	1	125	405	84
Chr	22	NC_036925.1	CM009284.2	35.31	47.8	1,047	-	-	144	716	134
Chr	X	NC_036926.1	CM009285.2	151.24	39.3	1,922	-	4	320	1,484	450
Chr	MT	NC_002083.1	-	0.02	45.9	13	2	22	-	37	-
