ype	Name	RefSeq	INSDC	Size (Mb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Chr	1	NC_048239.1	CM023027.1	224.62	41.9	7,110	6	73	1,247	3,784	677
Chr	2A	NC_048240.1	CM023028.1	104.95	41.0	2,291	1	4	651	1,253	184
Chr	2B	NC_048241.1	CM023029.1	129.38	39.7	2,653	1	4	554	1,266	236
Chr	3	NC_048242.1	CM023030.1	195.58	39.7	4,216	1	4	790	2,085	399
Chr	4	NC_048243.1	CM023031.1	182.44	38.0	2,651	-	1	656	1,560	311
Chr	5	NC_048244.1	CM023032.1	176.5	39.6	2,865	-	25	718	1,776	321
Chr	6	NC_048245.1	CM023033.1	168.93	39.8	3,449	1	148	780	2,139	379
Chr	7	NC_048246.1	CM023034.1	150.54	40.7	3,223	-	15	653	1,836	334
Chr	8	NC_048247.1	CM023035.1	141.84	40.2	2,453	-	6	593	1,375	266
Chr	9	NC_048248.1	CM023036.1	109.77	41.5	2,965	-	3	577	1,435	243
Chr	10	NC_048249.1	CM023037.1	128.85	41.6	3,108	-	3	595	1,457	246
Chr	11	NC_048250.1	CM023038.1	129.87	41.7	4,422	-	14	630	2,222	349
Chr	12	NC_048251.1	CM023039.1	131.32	40.9	3,696	-	9	641	1,880	323
Chr	13	NC_048252.1	CM023040.1	95.74	38.6	1,252	-	4	415	838	162
Chr	14	NC_048253.1	CM023041.1	87.89	41.0	2,172	-	19	566	1,295	217
Chr	15	NC_048254.1	CM023042.1	80.8	42.4	2,087	-	8	583	1,195	204
Chr	16	NC_048255.1	CM023043.1	71	44.6	2,416	-	27	422	1,161	137
Chr	17	NC_048256.1	CM023044.1	77.75	45.7	3,757	-	34	549	1,856	206
Chr	18	NC_048257.1	CM023045.1	74.09	39.9	1,125	-	1	336	633	118
Chr	19	NC_048258.1	CM023046.1	55.6	48.2	4,345	-	5	484	1,812	156
Chr	20	NC_048259.1	CM023047.1	59.77	44.0	1,612	-	-	383	894	119
Chr	21	NC_048260.1	CM023048.1	33.14	41.1	752	-	1	206	420	64
Chr	22	NC_048261.1	CM023049.1	31.06	48.0	1,514	-	-	243	677	82
Chr	X	NC_048262.1	CM023050.1	146.23	39.6	2,605	1	1	419	1,560	387
Chr	MT	NC_001644.1	-	0.02	43.4	13	2	22	-	37	-
