Type	Name	RefSeq	INSDC	Size	GC	Protein	rRNA	tRNA	Other_RNA	Gene	Pseudogene
Chr	1	NC_036879.1	CM009238.2	224.24	41.9	7,926	1	46	2,012	3,826	673
Chr	2A	NC_036880.1	CM009239.2	108.02	41.1	2,720	1	4	896	1,354	225
Chr	2B	NC_036881.1	CM009240.2	128.76	39.6	3,140	1	4	810	1,386	262
Chr	3	NC_036882.1	CM009241.2	196.56	39.7	4,888	1	4	1,339	2,248	436
Chr	4	NC_036883.1	CM009242.2	189.15	38.3	3,223	-	1	1,175	1,816	369
Chr	5	NC_036884.1	CM009243.2	159.32	39.7	2,971	-	18	1,032	1,768	334
Chr	6	NC_036885.1	CM009244.2	168.37	39.7	3,999	1	133	1,249	2,305	435
Chr	7	NC_036886.1	CM009245.2	156.05	40.9	3,783	-	13	1,120	2,035	394
Chr	8	NC_036887.1	CM009246.2	143.34	40.2	2,771	-	6	900	1,515	286
Chr	9	NC_036888.1	CM009247.2	110.51	41.5	3,241	-	3	795	1,496	278
Chr	10	NC_036889.1	CM009248.2	129.81	41.8	3,702	-	3	796	1,539	279
Chr	11	NC_036890.1	CM009249.2	130.78	41.6	4,957	-	14	939	2,276	384
Chr	12	NC_036891.1	CM009250.2	131	40.9	4,362	-	10	1,061	1,985	346
Chr	13	NC_036892.1	CM009251.2	95.6	38.6	1,492	-	4	622	890	172
Chr	14	NC_036893.1	CM009252.2	87.72	41.0	2,526	-	19	800	1,406	231
Chr	15	NC_036894.1	CM009253.2	80.52	42.3	2,478	-	8	980	1,347	244
Chr	16	NC_036895.1	CM009254.2	75.91	44.9	3,013	-	28	623	1,333	164
Chr	17	NC_036896.1	CM009255.2	76.55	45.7	4,392	-	34	893	1,925	241
Chr	18	NC_036897.1	CM009256.2	74.77	39.9	1,344	-	1	514	708	142
Chr	19	NC_036898.1	CM009257.2	56.73	48.4	4,949	-	7	834	1,997	213
Chr	20	NC_036899.1	CM009258.2	64.04	44.2	2,128	2	-	573	1,026	159
Chr	21	NC_036900.1	CM009259.2	33.23	41.1	808	-	1	303	471	76
Chr	22	NC_036901.1	CM009260.2	33.7	48.2	1,885	-	-	471	823	102
Chr	X	NC_036902.1	CM009261.2	151.58	39.7	2,737	1	2	697	1,646	444
Chr	Y	NC_006492.4	-	26.35	40.6	119	3	-	74	271	154
Chr	MT	NC_001643.1	-	0.02	43.7	13	2	22	-	37	-
