Type	Name	RefSeq	INSDC	Size (Mb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Chr	1	NC_041754.1	CM014336.1	223.62	41.9	6,799	16	99	1,693	3,932	705
Chr	2	NC_041755.1	CM014337.1	196.2	39.8	4,105	-	6	1,092	2,200	407
Chr	3	NC_041756.1	CM014338.1	185.29	40.8	3,836	-	17	1,282	2,435	431
Chr	4	NC_041757.1	CM014339.1	169.96	39.7	3,315	-	142	1,057	2,320	450
Chr	5	NC_041758.1	CM014340.1	187.32	38.3	2,681	-	2	924	1,714	329
Chr	6	NC_041759.1	CM014341.1	179.09	39.7	2,802	-	17	1,078	1,946	373
Chr	7	NC_041760.1	CM014342.1	169.87	41.6	4,319	-	29	1,661	2,804	480
Chr	8	NC_041761.1	CM014343.1	145.68	40.3	2,485	-	6	789	1,504	266
Chr	9	NC_041762.1	CM014344.1	134.12	41.8	3,156	-	2	857	1,587	288
Chr	10	NC_041763.1	CM014345.1	99.52	45.7	3,374	-	-	902	1,834	229
Chr	11	NC_041764.1	CM014346.1	133.07	41.1	3,621	-	9	921	2,014	345
Chr	12	NC_041765.1	CM014347.1	130.04	39.8	2,469	-	4	756	1,404	280
Chr	13	NC_041766.1	CM014348.1	108.74	41.2	2,300	-	4	707	1,332	211
Chr	14	NC_041767.1	CM014349.1	128.06	41.8	4,203	-	12	884	2,202	314
Chr	15	NC_041768.1	CM014350.1	113.28	41.8	2,697	-	4	729	1,466	242
Chr	16	NC_041769.1	CM014351.1	79.63	45.8	3,537	1	31	789	1,880	223
Chr	17	NC_041770.1	CM014352.1	95.43	38.7	1,208	-	4	531	845	152
Chr	18	NC_041771.1	CM014353.1	74.47	40.1	1,159	1	-	459	715	119
Chr	19	NC_041772.1	CM014354.1	58.32	48.4	4,137	-	7	685	1,963	201
Chr	20	NC_041773.1	CM014355.1	77.14	44.8	2,578	3	27	556	1,363	150
Chr	X	NC_041774.1	CM014356.1	153.39	39.5	2,511	1	6	719	1,743	480
Chr	Y	NC_027914.1	CM003438.1	11.75	40.1	118	-	-	47	102	39
Chr	MT	NC_005943.1	-	0.02	43.2	13	2	22	-	37	-
